number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
0,0.8310499469605309,2026-06-01 20:20:24.941795,2026-06-01 20:20:42.775629,0 days 00:00:17.833834,0.9409729556485982,0.6561753482887408,0.08239308900856526,14,90,0.02727374508106509,640,207,0.17433860342268107,7.032853236588588e-07,0.8743063472494205,0.8310499469605309,0.8303943983014076,0.8317233189389251,0.9476553964544371,COMPLETE
1,0.822339773343271,2026-06-01 20:20:42.835585,2026-06-01 20:20:51.647002,0 days 00:00:08.811417,0.709902134647508,0.8855527884179041,0.02587246099216343,10,60,0.006967561907999659,400,167,0.0002973787659849158,0.001423628142650151,0.8636923790393358,0.822339773343271,0.7975130830741225,0.8487776930640006,0.943043668733348,COMPLETE
2,0.821226745745983,2026-06-01 20:20:51.656518,2026-06-01 20:21:06.113068,0 days 00:00:14.456550,0.7985530730333811,0.6866114704534336,0.020360330298243964,8,60,0.03881699724000254,920,71,1.9913367728263115e-08,0.8131129951713353,0.8623761634994348,0.821226745745983,0.7939633565232201,0.8504490988243921,0.942725468233249,COMPLETE
3,0.8304606852890061,2026-06-01 20:21:06.122357,2026-06-01 20:21:27.834439,0 days 00:00:21.712082,0.6765477506155758,0.926562270506935,0.0262210224691796,10,80,0.04879954961448965,1000,167,5.068145116254201e-07,2.474177365968907e-08,0.8716212828220945,0.8304606852890061,0.8155248121690478,0.8459730449168452,0.9469330171648392,COMPLETE
4,0.8299662993129119,2026-06-01 20:21:27.843298,2026-06-01 20:21:45.372923,0 days 00:00:17.529625,0.7096147044602518,0.8816734307889972,0.02439168750543042,14,120,0.10602860157714257,660,223,1.1169577124462172e-08,0.12407220650925027,0.8710210803161074,0.8299662993129119,0.8136487029279316,0.8469645760285878,0.9467499093113702,COMPLETE
5,0.8311305053516373,2026-06-01 20:21:45.381804,2026-06-01 20:22:01.016674,0 days 00:00:15.634870,0.8688818535014192,0.7475549966080242,0.059738765504986774,10,40,0.07083223877429239,1080,71,0.0035163599046376553,0.5222002015831414,0.872821670537646,0.8311305053516373,0.8205000094125267,0.8420635929418886,0.9476248835331423,COMPLETE
6,0.8233389215848819,2026-06-01 20:22:01.030382,2026-06-01 20:22:06.848439,0 days 00:00:05.818057,0.8409231233791341,0.6594287557060203,0.053839817867668796,8,20,0.13613497108891395,320,215,5.42716780670553e-06,0.00026548573308223444,0.8643768171206125,0.8233389215848819,0.7980531378951907,0.8503074549621417,0.9436478581053219,COMPLETE
7,0.8312841695724726,2026-06-01 20:22:06.856888,2026-06-01 20:22:20.330340,0 days 00:00:13.473452,0.8911016230697343,0.9114381770563154,0.03129185028810098,14,80,0.08090133628734761,480,207,4.1972742403970905e-07,0.5812245567496177,0.8720635274090175,0.8312841695724726,0.8151992918531286,0.8480411724269267,0.9476395094370846,COMPLETE
8,0.8275010152739507,2026-06-01 20:22:20.343497,2026-06-01 20:22:43.613097,0 days 00:00:23.269600,0.716632343141219,0.7752233009446337,0.07471121935524463,14,70,0.14143645558687787,1180,119,1.1033295122429694e-07,8.64777236243511e-06,0.8719898050652425,0.8275010152739507,0.8289474215115075,0.8260857791011675,0.9458846492193009,COMPLETE
9,0.8260815081964937,2026-06-01 20:22:43.620993,2026-06-01 20:22:54.301187,0 days 00:00:10.680194,0.8328693001939691,0.6610660842063598,0.038000457919145046,8,40,0.04179696963549171,580,199,0.00023593357306984453,2.8042201973652807e-08,0.866872365307413,0.8260815081964937,0.8029218280835583,0.8506474175662552,0.9451765706022494,COMPLETE
10,0.8139568514695856,2026-06-01 20:22:54.319161,2026-06-01 20:23:00.912920,0 days 00:00:06.593759,0.9406392621641954,0.8307365443363959,0.015162051745232935,-1,110,0.0965569104935735,200,255,6.7654527140347166e-06,0.005795270432071719,0.8570691805585748,0.8139568514695856,0.7884329969650681,0.8412136888392038,0.9378845357143756,COMPLETE
11,0.8323643893702032,2026-06-01 20:23:00.922432,2026-06-01 20:23:18.630972,0 days 00:00:17.708540,0.8865566862816797,0.7454858750374425,0.04520930260638999,12,10,0.07772387484964778,1360,63,0.04419411232232685,1.9948409082457663,0.8733060385668133,0.8323643893702032,0.8188996583901829,0.8463130099285577,0.9480536757663236,COMPLETE
12,0.8282760473768255,2026-06-01 20:23:18.653712,2026-06-01 20:23:45.193048,0 days 00:00:26.539336,0.8953753297979709,0.7325311902298378,0.0386174030215851,12,10,0.08074010410772203,1320,111,4.616554144664194,4.059443574768765,0.869778570821429,0.8282760473768255,0.8122345338032321,0.844981549919087,0.9460177556040481,COMPLETE
13,0.8303729801091677,2026-06-01 20:23:45.201832,2026-06-01 20:24:14.138963,0 days 00:00:28.937131,0.7889519356237606,0.8087454013146314,0.049211237933788614,16,100,0.06750242008193506,1400,119,0.04197987189877339,0.021053453823828575,0.8734639758632197,0.8303729801091677,0.8274949170782434,0.83328144716806,0.9470943507420593,COMPLETE
14,0.8287505622218,2026-06-01 20:24:14.147490,2026-06-01 20:24:24.749855,0 days 00:00:10.602365,0.8957628846818466,0.9457214110753193,0.03279652821190379,12,40,0.10927980360603601,460,143,0.01060556128779822,0.04418249266378867,0.8695679842115697,0.8287505622218,0.8093048200707992,0.8491742968413414,0.9468165622274856,COMPLETE
15,0.8322716932058398,2026-06-01 20:24:24.758536,2026-06-01 20:24:48.185202,0 days 00:00:23.426666,0.7646979191064879,0.8418405398812634,0.04542328883653621,12,20,0.08829381323244141,820,255,1.406606529264714e-05,2.0560462710716623,0.8751803218612574,0.8322716932058398,0.8313759055653773,0.8331964541094328,0.9483745465239027,COMPLETE
16,0.8315563720472258,2026-06-01 20:24:48.193915,2026-06-01 20:25:12.577003,0 days 00:00:24.383088,0.7593602854245204,0.8429441929330833,0.04365590677192024,12,20,0.12209905583667471,860,239,1.1225096606782947,4.898617757113332,0.873706167694456,0.8315563720472258,0.824508776439984,0.8387490899697245,0.947445194156936,COMPLETE
17,0.8323242025597568,2026-06-01 20:25:12.585854,2026-06-01 20:25:31.024644,0 days 00:00:18.438790,0.7816410121426696,0.711457214717646,0.062498867342152,12,10,0.0647776401987401,1180,95,1.0885413728714594e-05,2.0872777729583926e-05,0.8750644903780492,0.8323242025597568,0.8304205172296664,0.8342729590190109,0.9486608046862665,COMPLETE
18,0.8337183861934889,2026-06-01 20:25:31.033513,2026-06-01 20:25:49.632667,0 days 00:00:18.599154,0.8350654608294961,0.719427472587173,0.06261310030928614,12,10,0.05775752982521226,1240,95,0.0012915682628421752,1.5148672443577019e-05,0.8764438977337873,0.8337183861934889,0.8340914566984018,0.8333948691552543,0.9488842496759867,COMPLETE
19,0.8324234245038397,2026-06-01 20:25:49.646794,2026-06-01 20:26:05.421142,0 days 00:00:15.774348,0.8254947924589976,0.7692951894591676,0.07590278940398378,-1,30,0.016972727166976787,1260,63,0.0031117139957927836,1.2100777792849869e-05,0.8747696568837008,0.8324234245038397,0.8280694040673451,0.8368509582072937,0.9482252911218964,COMPLETE
20,0.8324427399861802,2026-06-01 20:26:05.430385,2026-06-01 20:26:24.196703,0 days 00:00:18.766318,0.830067423167262,0.783167854190298,0.0712051112671289,-1,30,0.0039486084919526845,1260,87,0.0008631549340891731,8.487699184655475e-07,0.8754856795636966,0.8324427399861802,0.8327515103109988,0.8321482481180774,0.9485987747941714,COMPLETE
21,0.8304596631755916,2026-06-01 20:26:24.205248,2026-06-01 20:26:41.988299,0 days 00:00:17.783051,0.829818669176228,0.7874188718245971,0.08863107681774436,-1,30,0.001629257726892395,1200,87,0.0010579151637357415,1.056675002021699e-06,0.874295830359047,0.8304596631755916,0.83266755733429,0.8282954926911241,0.9480820482719797,COMPLETE
22,0.8313381744450171,2026-06-01 20:26:41.997227,2026-06-01 20:27:03.165749,0 days 00:00:21.168522,0.8179560439580935,0.7731888688037671,0.07086392560807504,-1,50,0.0192271763337201,1280,95,0.001743457826220031,3.263886986351183e-05,0.8745590599625125,0.8313381744450171,0.8309512222071285,0.8317516226723459,0.9477144072512033,COMPLETE
23,0.8329240591768808,2026-06-01 20:27:03.174513,2026-06-01 20:27:23.652917,0 days 00:00:20.478404,0.8570733224593358,0.7084416422818445,0.06536821612738962,-1,30,0.01979855301924823,1080,135,8.048089287526903e-05,1.0018556187543356e-06,0.8762543668578271,0.8329240591768808,0.8360164300207625,0.8298819439144717,0.9488591444770084,COMPLETE
24,0.8327957885316236,2026-06-01 20:27:23.661178,2026-06-01 20:27:43.943708,0 days 00:00:20.282530,0.8578514680820791,0.7053781494744029,0.0645196667655088,-1,30,0.05546797638030921,1060,143,6.13365582623066e-05,2.902894470274953e-07,0.876243829677419,0.8327957885316236,0.8364351097979057,0.8292303850372386,0.9488711436753502,COMPLETE
25,0.8335413411042509,2026-06-01 20:27:43.952963,2026-06-01 20:28:03.219260,0 days 00:00:19.266297,0.8583288759910501,0.6993397771547255,0.05975499683243973,16,20,0.056043475414499215,1020,143,0.00012835337977241043,1.8754042885667916e-07,0.8766018493330048,0.8335413411042509,0.8358527893214441,0.8312701052871435,0.9492217793146785,COMPLETE
26,0.8337928294474996,2026-06-01 20:28:03.230080,2026-06-01 20:28:22.950115,0 days 00:00:19.720035,0.9207676533564674,0.6926591551112634,0.05459773169337943,16,50,0.029305628465824837,980,143,5.1934087590348475e-05,1.3393272276216764e-07,0.8761490655699329,0.8337928294474996,0.8317936838980967,0.8358311329925261,0.949065562216559,COMPLETE
27,0.8336306185717651,2026-06-01 20:28:22.963964,2026-06-01 20:28:44.776573,0 days 00:00:21.812609,0.9164944816591906,0.6893334750030867,0.054464030991839295,16,50,0.035690886826693205,940,183,6.32261708459052e-05,1.2996591412046814e-07,0.8764965370685348,0.8336306185717651,0.8348091085698526,0.8324882347981806,0.9492264740355796,COMPLETE
28,0.8334229301027553,2026-06-01 20:28:44.785670,2026-06-01 20:29:02.495367,0 days 00:00:17.709697,0.9138992210706003,0.729754942561062,0.0537536879754231,16,50,0.031994759375907504,740,183,2.9649884810070078e-05,7.174658888076818e-08,0.8759911096466096,0.8334229301027553,0.8322104201901016,0.834669603725534,0.9491255880500278,COMPLETE
29,0.8307544364931528,2026-06-01 20:29:02.504493,2026-06-01 20:29:25.089880,0 days 00:00:22.585387,0.9457357741641658,0.6785755330535255,0.08415766053648985,16,70,0.029104780139104516,940,183,1.7638397293652577e-06,9.880604326426353e-05,0.8749486559012293,0.8307544364931528,0.8358614730878372,0.8257457707526736,0.947824117133682,COMPLETE
30,0.8340894864007206,2026-06-01 20:29:25.099007,2026-06-01 20:29:42.237405,0 days 00:00:17.138398,0.924882358129952,0.6516375726131939,0.05216751171710552,16,50,0.04191199268325933,720,183,0.010796294123152889,3.4894134014679736e-06,0.876275430907314,0.8340894864007206,0.8314551286288624,0.8367660157082447,0.9491537256064652,COMPLETE
