number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
0,0.8236342502837429,2026-06-03 06:42:14.095865,2026-06-03 06:42:23.591405,0 days 00:00:09.495540,,0.7243186887373967,0.13125830316209655,10,180,0.3042422429595377,900,192,4.329370014459266e-07,4.4734294104626844e-07,0.9413549242801476,0.8730510850890116,0.8236342502837429,0.8507064553424071,0.7982560443915974,0.9457529827435872,COMPLETE
1,0.8135388630545234,2026-06-03 06:42:23.606373,2026-06-03 06:42:32.015488,0 days 00:00:08.409115,,0.6727680575448478,0.05243180891902853,8,110,0.8083973481164611,800,48,3.4671276804481113,4.905556676028774,0.7096834432905521,0.8669533372104222,0.8135388630545234,0.8482563649084386,0.78158088443463,0.9408873656124207,COMPLETE
2,0.8091496478182417,2026-06-03 06:42:32.024989,2026-06-03 06:42:42.224729,0 days 00:00:10.199740,,0.9212964881763901,0.03293513898890987,6,40,0.5978999788110851,1500,40,2.854239907497756,1.1309571585271483,0.9893546197175955,0.8634208592420629,0.8091496478182417,0.8409912981514712,0.7796840496008154,0.9391063625416881,COMPLETE
3,0.7951543682368452,2026-06-03 06:42:42.233217,2026-06-03 06:42:48.995239,0 days 00:00:06.762022,balanced,0.9202856692538302,0.011302939920362371,6,20,0.8154614284548342,600,96,6.143857495033091e-07,1.1212412169964432e-08,0.9954104278101811,0.8432877660811974,0.7951543682368452,0.772619600927421,0.8190646056282204,0.9289737184950733,COMPLETE
4,0.8021364254691927,2026-06-03 06:42:49.004089,2026-06-03 06:43:00.027692,0 days 00:00:11.023603,balanced,0.8152752238066823,0.012220339394068061,4,120,0.7607850486168974,1600,104,1.1921975182604538e-07,0.02625445968759339,0.9605244599017143,0.8468412941073211,0.8021364254691927,0.770926098637684,0.8359945642942076,0.9316837919860427,COMPLETE
5,0.8332507900034214,2026-06-03 06:43:00.036572,2026-06-03 06:43:20.260652,0 days 00:00:20.224080,,0.7300793579220679,0.0411890249732573,14,80,0.16122128725400442,1100,120,4.929685216887945e-08,4.052873758065144e-06,0.914442898490067,0.8798322175668659,0.8332507900034214,0.8595852415317902,0.80850461468773,0.9500714240931009,COMPLETE
6,0.826250094025073,2026-06-03 06:43:20.273700,2026-06-03 06:43:31.218799,0 days 00:00:10.945099,,0.9512557041397203,0.1059051751308571,10,80,0.417411003148779,1400,208,1.1549659339590204e-08,0.00039511700681839584,0.9363051680728727,0.8749014508556922,0.826250094025073,0.8531858331154067,0.8009738972878093,0.9473206445422012,COMPLETE
7,0.8272931853066822,2026-06-03 06:43:31.226402,2026-06-03 06:43:44.051810,0 days 00:00:12.825408,,0.8633475168929639,0.12851323643357537,8,60,0.27864646423661144,900,96,0.0003342806277473177,2.906088000706637e-08,0.6629104315740865,0.8749645406784782,0.8272931853066822,0.8493202124303844,0.8064096030802332,0.9454336742148964,COMPLETE
8,0.8146008288768544,2026-06-03 06:43:44.060181,2026-06-03 06:43:49.859750,0 days 00:00:05.799569,balanced,0.9423558734562333,0.03763926317321749,6,100,0.040775141554763916,500,256,7.709400093120135e-06,4.771628167351996e-07,0.681601419519043,0.8562192123921316,0.8146008288768544,0.7815621908067313,0.8505747126436782,0.9395768459497861,COMPLETE
9,0.8133326181047912,2026-06-03 06:43:49.868351,2026-06-03 06:43:55.274962,0 days 00:00:05.406611,,0.7402795697003045,0.040019178531852884,10,170,0.5552008115994623,300,72,0.008706756810730947,0.2264643274129281,0.9570687736833434,0.8670689840346016,0.8133326181047912,0.8498803460395985,0.7798539154068287,0.9419375849457943,COMPLETE
10,0.8324002949764151,2026-06-03 06:43:55.282628,2026-06-03 06:44:40.317976,0 days 00:00:45.035348,balanced,0.7943739172642003,0.06912418901831752,14,140,0.01231116956493733,2000,144,3.4046778781905594e-05,9.877266996068136e-05,0.847724438118725,0.8756794481379894,0.8324002949764151,0.8334974016585202,0.8313232546288433,0.9475434167481058,COMPLETE
11,0.8320613267299993,2026-06-03 06:44:40.327000,2026-06-03 06:45:26.427620,0 days 00:00:46.100620,balanced,0.7891247007616718,0.06956809991431485,14,140,0.060584474245018206,2000,152,4.077156737293254e-05,3.078561519283311e-05,0.8484593945871591,0.8754481551528229,0.8320613267299993,0.8332731425769583,0.8308702791461412,0.9468837483253377,COMPLETE
