model,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,reg_alpha,reg_lambda,accuracy,precision,recall,f1,roc_auc,model_path
native_lgbm_220,220,0.06,127,-1,20,0.75,0.9,1,0.0,0.0,0.8677926125594912,0.8070194384449244,0.8467988668555241,0.8264307437102572,0.944873531490562,models\overfitting_experiment_binary_native\native_lgbm_220.joblib
native_lgbm_224,220,0.06,127,-1,20,0.9,0.75,1,0.0,0.5,0.8672450827612349,0.8062182878117241,0.8462322946175638,0.8257408226448474,0.945068383271421,models\overfitting_experiment_binary_native\native_lgbm_224.joblib
native_lgbm_219,220,0.06,127,-1,20,0.75,0.75,1,0.0,2.0,0.8670344943772902,0.8056514236410699,0.8464589235127479,0.8255511963308836,0.9438187416991927,models\overfitting_experiment_binary_native\native_lgbm_219.joblib
native_lgbm_289,220,0.06,127,12,20,0.75,0.75,1,0.0,0.0,0.8669923767005012,0.8055645422193465,0.8464589235127479,0.8255055807271522,0.9440592633497491,models\overfitting_experiment_binary_native\native_lgbm_289.joblib
native_lgbm_307,220,0.06,127,12,50,0.9,0.75,1,0.0,0.0,0.8665290822558228,0.8042168674698795,0.8471388101983003,0.8251200264886044,0.943835870274023,models\overfitting_experiment_binary_native\native_lgbm_307.joblib
native_lgbm_229,220,0.06,127,-1,50,0.75,0.75,1,0.0,0.0,0.8666975529629786,0.8054835924006909,0.8455524079320114,0.8250317872740339,0.9446746957019432,models\overfitting_experiment_binary_native\native_lgbm_229.joblib
native_lgbm_247,220,0.06,127,-1,100,0.9,0.75,1,0.0,0.0,0.8661079054879333,0.8024426826655239,0.8487252124645892,0.8249352937937111,0.943902094433517,models\overfitting_experiment_binary_native\native_lgbm_247.joblib
native_lgbm_236,220,0.06,127,-1,50,0.9,0.75,1,0.0,0.5,0.8666133176094006,0.8053756476683938,0.8454390934844193,0.8249212228426115,0.9443830693722473,models\overfitting_experiment_binary_native\native_lgbm_236.joblib
native_lgbm_233,220,0.06,127,-1,50,0.75,0.9,1,0.0,0.5,0.8661079054879333,0.8025075010715816,0.8486118980169972,0.8249160103541334,0.9445559502428194,models\overfitting_experiment_binary_native\native_lgbm_233.joblib
native_lgbm_226,220,0.06,127,-1,20,0.9,0.9,1,0.0,0.0,0.8664027292254559,0.8044157242864836,0.8463456090651558,0.8248481501932634,0.9449031893710167,models\overfitting_experiment_binary_native\native_lgbm_226.joblib
native_lgbm_222,220,0.06,127,-1,20,0.75,0.9,1,0.0,2.0,0.8661500231647222,0.803178352840116,0.8475920679886686,0.8247877384496637,0.9442452546062005,models\overfitting_experiment_binary_native\native_lgbm_222.joblib
native_lgbm_217,220,0.06,127,-1,20,0.75,0.75,1,0.0,0.0,0.866318493871878,0.8048333153522494,0.8453257790368272,0.8245827346081575,0.9445480202064012,models\overfitting_experiment_binary_native\native_lgbm_217.joblib
native_lgbm_218,220,0.06,127,-1,20,0.75,0.75,1,0.0,0.5,0.8664869645790338,0.8058409951325041,0.8441926345609065,0.8245711123408965,0.9442953984140687,models\overfitting_experiment_binary_native\native_lgbm_218.joblib
native_lgbm_239,220,0.06,127,-1,50,0.9,0.9,1,0.0,0.5,0.8659815524575665,0.803419722550812,0.84657223796034,0.8244316927830501,0.9448407897070559,models\overfitting_experiment_binary_native\native_lgbm_239.joblib
native_lgbm_235,220,0.06,127,-1,50,0.9,0.75,1,0.0,0.0,0.8660657878111443,0.8039194573059115,0.8460056657223796,0.8244257950530035,0.9446689874429697,models\overfitting_experiment_binary_native\native_lgbm_235.joblib
native_lgbm_221,220,0.06,127,-1,20,0.75,0.9,1,0.0,0.5,0.8660236701343554,0.8039638087031452,0.8457790368271955,0.8243414876580706,0.9445766526511122,models\overfitting_experiment_binary_native\native_lgbm_221.joblib
